,user_id,age,gender,signup_date,last_login,country,purchase_amount,items_purchased,payment_method,is_returned,rating
0,U23654,69,F,29/10/2019,,USA,4666.9795,11,Unknown,Y,4
1,U15795,11,,2020-07-19,,United states,5024.7993,6,Unknown,Y,5
2,U00860,41,F,29/10/2019,,USA,5232.8394,10,Credit card,Y,1
3,U05390,45,M,2020-07-19,,India,3223.9414,14,Creditcard,Y,5
4,U29802,64,,,2021-08-02 00:00:00,USA,5718.7295,5,Unknown,Y,3
5,U21575,72,M,09-07-2019,,Uk,4676.2144,5,Upi,Unknown,3
6,U11964,78,M,09-07-2019,2021-08-02 00:00:00,USA,5656.0557,10,Upi,Y,2
7,U11284,89,M,2020-07-19,,U.s.a,7256.084,0,Upi,Unknown,3
8,U22118,49,M,09-07-2019,,United states,5653.7476,8,Upi,N,3
9,U06265,33,Other,2020-07-19,2021-08-02 00:00:00,U.s.a,5035.8125,7,Unknown,Unknown,5
10,U16850,67,F,29/10/2019,,India,7308.74,5,Unknown,Y,1
11,U29910,37,M,29/10/2019,,Germany,654.4634,14,Credit card,Unknown,3
12,U04426,71,F,not available,,India,4797.72,3,Unknown,Y,5
13,U21962,34,F,not available,,,2972.1726,0,Creditcard,N,5
14,U14423,16,M,29/10/2019,,U.k.,4501.482,0,Debitcard,Unknown,0
15,U28020,47,M,29/10/2019,,Uk,1861.0814,11,Unknown,Unknown,4
16,U11363,80,F,29/10/2019,,Germany,4916.826,3,Unknown,Unknown,5
17,U27495,54,,not available,,Germany,2848.468,12,Credit card,N,3
18,U16023,41,M,,,Uk,6995.088,13,Upi,Unknown,5
19,U08322,41,,09-07-2019,,India,7899.8345,1,Unknown,N,3
20,U01685,10,M,09-07-2019,,India,4048.2942,7,Cod,Y,3
21,U00769,83,M,not available,,India,5163.1123,5,Credit card,N,4
22,U26967,54,M,09-07-2019,,Germany,8794.288,4,Cod,Y,5
23,U23333,73,,2020-07-19,,India,5081.5293,3,Cod,N,5
24,U02433,77,M,not available,,India,2452.4421,11,Debitcard,Y,2
25,U05311,16,M,29/10/2019,,USA,3761.6245,0,Cod,Unknown,3
26,U05051,47,M,,,U.k.,3058.172,6,Unknown,N,3
27,U06420,79,F,2020-07-19,,Germany,750.3927,13,Unknown,Y,3
28,U17568,62,,2020-07-19,,,716.2506,1,Cod,Y,5
29,U20939,84,F,not available,,Germany,5398.816,3,Cod,Unknown,4
30,U19769,82,M,29/10/2019,,,5594.251,14,Netbanking,N,4
31,U28693,39,F,29/10/2019,,,5101.76,10,Unknown,Y,5
32,U06396,31,,2020-07-19,,Germany,-236.80466,3,Cod,Y,5
33,U29419,67,M,29/10/2019,,India,5266.0366,0,Cod,N,1
34,U27480,82,F,29/10/2019,,,3747.9954,10,Creditcard,Y,0
35,U08666,64,Other,29/10/2019,,India,3236.4817,14,Unknown,N,3
36,U25658,55,F,09-07-2019,,United states,8276.481,10,Cod,N,0
37,U18942,35,F,,,Uk,6708.4155,11,Credit card,N,4
38,U24233,73,Other,not available,,India,3978.4966,2,Cod,N,3
39,U18431,89,,not available,,India,804.5942,0,Upi,Y,5
40,U02747,18,F,09-07-2019,,United states,3394.8071,6,Unknown,N,5
41,U25551,24,M,09-07-2019,,United states,3287.938,8,Creditcard,Y,5
42,U26382,28,F,not available,,Germany,7699.4043,14,Credit card,Y,3
43,U00189,25,F,not available,,India,6932.938,11,Creditcard,N,3
44,U19118,34,,29/10/2019,,U.k.,10230.415,10,Unknown,Unknown,3
45,U03005,60,M,09-07-2019,,Uk,5841.708,13,Debitcard,Unknown,3
46,U21042,86,,09-07-2019,,India,3417.3508,13,Credit card,Unknown,1
47,U01899,55,,,,U.s.a,1168.802,0,Credit card,Y,4
48,U24118,16,,2020-07-19,,,7133.0845,1,Credit card,Unknown,5
49,U01267,43,,,,Germany,6251.9287,0,Creditcard,N,2
50,U17912,67,,29/10/2019,,Germany,6839.8306,0,Netbanking,N,0
51,U11394,87,F,29/10/2019,2021-08-02 00:00:00,India,4353.6235,7,Credit card,Y,5
52,U03556,32,Other,29/10/2019,,Uk,5257.1797,14,Unknown,N,3
53,U03890,32,M,,,USA,8093.826,3,Debitcard,Y,0
54,U08838,26,M,2020-07-19,,India,7985.8164,14,Creditcard,Unknown,3
55,U27464,22,,2020-07-19,,Uk,8672.52,10,Creditcard,Unknown,3
56,U14502,36,F,29/10/2019,2021-08-02 00:00:00,USA,5249.176,4,Unknown,N,3
57,U21777,75,F,29/10/2019,,Uk,3666.5566,11,Creditcard,Y,1
58,U10627,39,,2020-07-19,,Germany,2661.412,13,Debitcard,Y,4
59,U08792,13,,2020-07-19,2021-08-02 00:00:00,USA,5310.905,14,Unknown,Y,3
60,U10555,76,F,09-07-2019,,,2951.4268,8,Unknown,N,5
61,U10253,23,Other,not available,2021-08-02 00:00:00,Germany,7169.877,6,Unknown,Unknown,5
62,U08433,20,M,,2021-08-02 00:00:00,Uk,5269.989,5,Unknown,Y,3
63,U10233,49,F,,,,7464.8027,10,Unknown,N,2
64,U11016,12,M,not available,,India,1286.2074,10,Creditcard,Y,2
65,U23897,10,F,not available,,United states,5667.773,12,Debitcard,Y,2
66,U02612,18,M,09-07-2019,,Germany,6998.208,6,Cod,Y,5
67,U23425,82,M,2020-07-19,2021-08-02 00:00:00,India,6492.142,10,Upi,N,3
