user_id,age,gender,signup_date,last_login,country,purchase_amount,items_purchased,payment_method,is_returned,rating
U23654,69,Female,29/10/2019,,USA,4666.979509973725,11,,Y,4
U15795,11,,2020-07-19,,United States,5024.7990794836505,6,,yes,5
U00860,41,Female,29/10/2019,,USA,5232.839144301124,ten,Credit Card,yes,1
U05390,45,male,2020-07-19,,india,3223.9413587660565,14,creditcard,yes,five
U29802,64,,,2021-08-02 00:00:00,USA,5718.729293990356,5,,Y,3
U21575,72,male,09-07-2019,N/A,UK,4676.214246782158,5,UPI,,
U11964,78,Male,09-07-2019,2021-08-02 00:00:00,USA,5656.055438621803,ten,UPI,Yes,2
U11284,89,Male,2020-07-19,N/A,U.S.A,7256.083778707924,-1,UPI,,
U22118,49,M,09-07-2019,N/A,United States,5653.747736562868,8,upi,no,3
U06265,33,Other,2020-07-19,2021-08-02 00:00:00,U.S.A,5035.812588779195,7,,,6
U16850,67,F,29/10/2019,,india,7308.739995778285,5,,Y,1
U29910,37,M,29/10/2019,,Germany,654.4634060023673,14,Credit Card,,
U04426,71,female,not available,N/A,india,4797.720210845531,3,,Y,5
U21962,34,F,not available,,,2972.172584408734,-1,creditcard,N,five
U14423,16,male,29/10/2019,,U.K.,4501.482135460992,0,Debit Card,,0
U28020,47,M,29/10/2019,N/A,UK,1861.0814012099809,11,,,4
U11363,80,Female,29/10/2019,N/A,Germany,4916.826131465454,3,,,five
U27495,54,,not available,,germany,2848.4679926542894,12,Credit Card,no,
U16023,41,Male,,,UK,6995.087808250848,13,UPI,,5
U08322,41,,09-07-2019,,india,7899.834435763787,1,,N,
U01685,10,Male,09-07-2019,,india,4048.2942696793502,,COD,Y,
U00769,83,M,not available,N/A,india,5163.112143126974,5,Credit Card,no,4
U26967,54,M,09-07-2019,N/A,germany,8794.287759279441,4,COD,yes,5
U23333,73,,2020-07-19,,india,5081.52943975126,3,COD,No,five
U02433,77,M,not available,N/A,india,2452.4422247625735,11,Debit Card,Yes,2
U05311,16,M,29/10/2019,,USA,3761.6245913268212,-1,COD,,
U05051,47,male,,N/A,U.K.,3058.1720505179246,6,,no,
U06420,79,Female,2020-07-19,,Germany,750.3926961267935,13,,yes,
U17568,62,,2020-07-19,N/A,,716.2506290528654,1,COD,Yes,6
U20939,84,F,not available,,germany,5398.816050893955,3,COD,,4
U19769,82,Male,29/10/2019,,,5594.251130452195,14,NetBanking,no,4
U28693,39,female,29/10/2019,N/A,,5101.759816727585,ten,,yes,five
U06396,31,,2020-07-19,,Germany,-236.80464970702724,3,COD,yes,5
U29419,67,Male,29/10/2019,,india,5266.036529206567,-1,COD,No,1
U27480,82,F,29/10/2019,,,3747.9953422524823,ten,creditcard,yes,0
U08666,64,Other,29/10/2019,,india,3236.48176063923,14,,no,
U25658,55,female,09-07-2019,,United States,8276.481301357424,ten,COD,No,0
U18942,35,Female,,,UK,6708.415631045641,11,Credit Card,No,4
U24233,73,Other,not available,,India,3978.496620356833,2,COD,no,3
U18431,89,,not available,,india,804.5941651830744,-1,UPI,yes,five
U02747,18,Female,09-07-2019,,United States,3394.8071346288625,6,,no,5
U25551,24,M,09-07-2019,,United States,3287.9378958203915,8,creditcard,Y,6
U26382,28,Female,not available,,Germany,7699.404478045297,14,Credit Card,Y,
U00189,25,female,not available,N/A,India,6932.937887972872,11,creditcard,no,3
U19118,34,,29/10/2019,,U.K.,10230.415004503991,10,,,3
U03005,60,Male,09-07-2019,,UK,5841.708153937229,13,Debit Card,,3
U21042,86,,09-07-2019,,India,3417.350776828298,13,Credit Card,,1
U01899,55,,,N/A,U.S.A,1168.802060603657,-1,Credit Card,yes,4
U24118,16,,2020-07-19,,,7133.084592616866,1,Credit Card,,5
U01267,43,,,N/A,germany,6251.928863027085,-1,creditcard,no,2
U17912,67,,29/10/2019,,germany,6839.830397446286,-1,NetBanking,no,0
U11394,87,Female,29/10/2019,2021-08-02 00:00:00,india,4353.623357385536,7,Credit Card,yes,6
U03556,32,Other,29/10/2019,N/A,UK,5257.179746115581,14,,N,
U03890,32,male,,,USA,8093.8262921245905,3,Debit Card,yes,0
U08838,26,M,2020-07-19,,India,7985.8161926220855,14,creditcard,,3
U27464,22,,2020-07-19,,UK,8672.51987701366,ten,creditcard,,
U14502,36,Female,29/10/2019,2021-08-02 00:00:00,USA,5249.175886166891,4,,no,3
U21777,75,F,29/10/2019,,UK,3666.556556912802,11,creditcard,Y,1
U10627,39,,2020-07-19,,germany,2661.4121819124102,13,Debit Card,Y,4
U08792,13,,2020-07-19,2021-08-02 00:00:00,USA,5310.904604262373,14,,Yes,
U10555,76,female,09-07-2019,,,2951.426718803404,8,,N,five
U10253,23,Other,not available,2021-08-02 00:00:00,Germany,7169.876721058533,6,,,five
U08433,20,Male,,2021-08-02 00:00:00,UK,5269.9885430029335,5,,Y,3
U10233,49,female,,,,7464.802820148345,ten,,no,2
U11016,12,M,not available,N/A,India,1286.2073405250353,ten,creditcard,Yes,2
U23897,10,Female,not available,N/A,United States,5667.772802584962,12,Debit Card,Y,2
U02612,18,Male,09-07-2019,,Germany,6998.208159574072,6,COD,yes,5
U23425,82,Male,2020-07-19,2021-08-02 00:00:00,India,6492.142196174694,ten,UPI,no,
U25939,85,M,2020-07-19,N/A,,745.9442483144776,5,Debit Card,,5
U22619,10,Female,09-07-2019,N/A,United States,1891.0094183872097,5,upi,Yes,1
U21870,25,M,2020-07-19,,U.S.A,5633.913042947712,2,creditcard,yes,6
U23483,81,male,09-07-2019,,india,8818.051329925469,0,upi,No,3
U26054,55,Other,29/10/2019,N/A,UK,1907.785527338639,6,upi,no,2
U15787,19,,09-07-2019,,USA,7356.655460802636,,NetBanking,yes,5
U27132,42,M,29/10/2019,,,6083.622504278549,10,COD,No,3
U17159,50,,29/10/2019,,U.S.A,221.4492391865515,10,UPI,N,5
U12206,60,,29/10/2019,,USA,6884.72519686401,14,upi,no,2
U08226,31,female,not available,2021-08-02 00:00:00,USA,5853.520211654977,5,NetBanking,No,5
U14541,25,F,not available,2021-08-02 00:00:00,U.K.,6560.609053123828,6,COD,Yes,2
U03152,,Male,2020-07-19,2021-08-02 00:00:00,india,3464.644309388982,ten,,,
U26531,84,F,29/10/2019,,India,8571.981551461911,13,COD,yes,2
U01585,71,,not available,N/A,,246.18901937379087,4,upi,N,1
U03943,62,Other,29/10/2019,2021-08-02 00:00:00,india,2975.7092152517753,2,,No,1
U23939,84,,not available,2021-08-02 00:00:00,India,-759.8402859527941,11,creditcard,no,
U19457,23,female,not available,,UK,4711.640624929974,0,Debit Card,No,2
U01021,68,female,,,Germany,1784.4844547241669,8,Credit Card,,6
U11653,35,female,,2021-08-02 00:00:00,U.K.,3801.31568023385,11,upi,,
U10805,53,F,29/10/2019,,,3894.318124889115,,,No,4
U13417,29,Female,not available,,U.K.,4563.110021975405,12,UPI,no,2
U20227,-5,,,,U.K.,-1115.5974408288912,1,COD,No,
U07989,14,Other,2020-07-19,,germany,2339.056616550102,0,Debit Card,Y,0
U09692,74,M,29/10/2019,N/A,India,2180.521118221956,13,COD,No,
U12990,20,Other,not available,,United States,3075.5304492107457,10,upi,Y,4
U06873,56,M,not available,N/A,UK,6999.428975412635,0,Debit Card,,five
U05675,19,M,,N/A,india,5174.136418873543,8,Credit Card,,1
U00161,70,Female,2020-07-19,,Germany,5845.788690568255,0,COD,,2
U04297,54,male,29/10/2019,2021-08-02 00:00:00,,6003.825753136608,6,UPI,,0
U26557,56,,29/10/2019,,,2375.6369670965996,7,Credit Card,Y,
U00995,43,Male,,2021-08-02 00:00:00,UK,5466.837813569368,12,creditcard,No,
U29487,22,Male,09-07-2019,,india,5402.724607137924,,Debit Card,Y,2
U11534,32,Male,2020-07-19,2021-08-02 00:00:00,india,2902.55675330573,1,creditcard,No,five
U29127,45,Female,2020-07-19,2021-08-02 00:00:00,USA,2530.034681809617,10,Debit Card,yes,3
U07629,72,Male,29/10/2019,2021-08-02 00:00:00,UK,-3748.085597637666,13,Debit Card,,3
U28374,85,M,09-07-2019,2021-08-02 00:00:00,United States,3312.526420457276,14,UPI,,0
U25851,56,Other,not available,,U.K.,3611.002243915371,10,creditcard,,6
U01016,75,M,not available,N/A,UK,2827.9926952514847,6,creditcard,No,6
U24253,-5,male,09-07-2019,,India,3561.935751668814,5,,No,
U22823,89,F,,N/A,Germany,4255.7200896899885,-1,COD,,five
U24276,23,,not available,,germany,1096.8020657253837,10,,Y,5
U23247,62,Female,29/10/2019,N/A,U.S.A,5052.937220936246,8,NetBanking,yes,2
U24300,75,Female,,N/A,,5521.279071839318,4,,,0
U08529,58,male,2020-07-19,,U.S.A,7563.6923718040425,13,NetBanking,No,3
U17262,25,female,,N/A,Germany,7916.142316736506,10,UPI,No,4
U09268,77,,,2021-08-02 00:00:00,United States,7137.382514899295,12,,no,2
U21271,52,Male,29/10/2019,,,4897.578519388653,ten,creditcard,Y,five
U12185,86,male,,,U.S.A,3492.481656737308,6,Credit Card,No,6
U21243,74,Male,2020-07-19,,india,5981.821114922686,8,COD,yes,five
U06331,18,Female,29/10/2019,,USA,5100.11598444212,1,Debit Card,,6
U08571,30,Other,,,U.S.A,6744.546096719258,-1,COD,Yes,2
U25068,?,M,not available,2021-08-02 00:00:00,India,5324.0179302688875,13,COD,Yes,1
U07208,-5,,29/10/2019,N/A,U.K.,4662.803697523851,7,Credit Card,Yes,1
U05276,52,F,not available,,India,2242.0490605124596,13,creditcard,No,1
U18446,75,male,29/10/2019,,,6472.6784798820945,,COD,,
U28460,13,,not available,,,5331.253644491442,4,upi,no,
U16448,16,,2020-07-19,,U.K.,5429.786455126602,14,,N,
U16216,-5,Other,29/10/2019,,UK,1818.795386643077,8,Debit Card,no,0
U08006,67,,29/10/2019,,,6837.2697680397205,12,Credit Card,,1
U02568,13,Male,not available,N/A,,6047.440102204815,1,Credit Card,Y,
U21847,29,F,29/10/2019,2021-08-02 00:00:00,U.K.,5287.32279185241,-1,creditcard,,3
U29824,44,,not available,2021-08-02 00:00:00,,4713.656239452496,7,UPI,,5
U02027,68,F,,N/A,india,5119.388537806446,9,Debit Card,,6
U02695,200,M,29/10/2019,,Germany,5634.643901182212,14,Debit Card,yes,2
U26071,54,male,09-07-2019,2021-08-02 00:00:00,U.S.A,3356.691019628279,9,Debit Card,Yes,3
U15422,23,,29/10/2019,2021-08-02 00:00:00,India,4593.1555331813,1,,Yes,0
U05258,31,Female,09-07-2019,N/A,U.K.,5787.363358925537,6,Debit Card,yes,3
